"Date"	"Price..Open."	"Price..High."	"Price..Low."	"Price..Close."	"Real.Volume"	"Circulating.Marketcap"	"Marketcap.Dominance"
"1623"	2010-07-17	0.04951	0.04951	0.04951	0.04951	0.9902	170264.89	100
"1622"	2010-07-18	0.05941	0.08585	0.05941	0.08584	5.0919941	204821.916	100
"1621"	2010-07-19	0.0909	0.09307	0.07723	0.0808	49.6613	314177.67	100
"1620"	2010-07-20	0.08181	0.08181	0.07426	0.07474	20.58952	283500.2835	100
"1619"	2010-07-21	0.07425	0.07921	0.06634	0.07921	41.9992	258070.725	100
"1618"	2010-07-22	0.07921	0.08181	0.0505	0.05248	128.81218	276007.245	100
"1617"	2010-07-23	0.0505	0.06767	0.0505	0.06262	141.4313811	176457.1	100
"1616"	2010-07-24	0.06161	0.06161	0.05049	0.05454	26.6359752	215859.8765	100
"1615"	2010-07-25	0.05545	0.05941	0.0505	0.0505	85.067505	194917.84	100
"1614"	2010-07-26	0.05	0.056	0.05	0.056	47.72816	176367.5	100
"1613"	2010-07-27	0.0559	0.0605	0.053	0.06	199.6564	197642.835	100
"1612"	2010-07-28	0.06	0.062	0.054	0.0589	255.546924	212616	100
"1611"	2010-07-29	0.0597	0.0699	0.0571	0.0699	528.6802209	212090.22	100
"1610"	2010-07-30	0.0698	0.0698	0.0582	0.0627	197.1712149	248606.66	100
"1609"	2010-07-31	0.065	0.06889	0.056	0.06785	243.7384759	232170.25	100
"1608"	2010-08-01	0.061	0.065	0.06	0.0611	163.1101175	218611.8	100
"1607"	2010-08-02	0.0625	0.0633	0.06	0.0611	221.3997	224743.75	100
"1606"	2010-08-03	0.06	0.065	0.059	0.06	605.1943963	216435	100
"1605"	2010-08-04	0.0623	0.06231	0.057	0.057	207.765973	225488.62	100
"1604"	2010-08-05	0.0581	0.061	0.058	0.061	303.594182	210920.43	100
"1603"	2010-08-06	0.062	0.0624	0.0607	0.0623	85.908	225534.3	100
"1602"	2010-08-07	0.0608	0.0622	0.059	0.059	155.5743	221640.32	100
"1601"	2010-08-08	0.059	0.061	0.059	0.0609	132.1954	215665.65	100
"1600"	2010-08-09	0.06091	0.0735	0.0593	0.071	888.4006681	223226.0135	100
"1599"	2010-08-10	0.068	0.0709	0.06651	0.07	88.8681229	249859.2	100
"1598"	2010-08-11	0.06	0.07541	0.06	0.067	1019.7542223	221163	100
"1597"	2010-08-12	0.068	0.07	0.06141	0.07	133.1143124	251389.2	100
"1596"	2010-08-13	0.0665	0.068	0.0645	0.0645	213.4523844	246558.725	100
"1595"	2010-08-14	0.0655	0.0695	0.0645	0.067	295.8600404	243771.35	100
"1594"	2010-08-15	0.067	0.067	0.065	0.06529	294.94926945	250047.35	100
"1593"	2010-08-16	0.06319	0.0679	0.062	0.0655	691.08084439	236292.686	100
"1592"	2010-08-17	0.0655	0.0769	0.06243	0.07	919.4998698	245353.175	100
"1591"	2010-08-18	0.06999	0.0733	0.067	0.068	203.82833613	262637.475	100
"1590"	2010-08-19	0.0675	0.0679	0.0667	0.0667	50.0425105	253749.375	100
"1589"	2010-08-20	0.0667	0.0667	0.065	0.0655	276.4108105	251385.63	100
"1588"	2010-08-21	0.0655	0.0669	0.0644	0.0664	689.07376	247429.525	100
"1587"	2010-08-22	0.065	0.0664	0.0612	0.066	1183.07349092	246229.75	100
"1586"	2010-08-23	0.066	0.06689	0.063	0.06491	282.6634021	250720.8	100
"1585"	2010-08-24	0.06491	0.0665	0.06491	0.065	444.66541957	247277.8905	100
